Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
copy-of-clothing-accessories-category-clothing-accessories-1,Baby Products-Nursery,Baby Products- Nursery,PHUC-UAT-100119,,,"",true,Title,Default Title,,,,,"",30.0,shopify,2,deny,manual,45.00,47.00,true,true,"",https://cdn.shopify.com/s/files/1/0524/5167/2260/products/Nursery.jpg?v=1637571142,1,,false,,,,,,,,,,,,,,,,,kg,,1.00,active
copy-of-jewelry-watches-jewelry,Jewelry & Watches-Watches,Copy of Jewelry &amp; Watches- Watches,PHUC-UAT-100119,,,"",true,Title,Default Title,,,,,"",30.0,shopify,2,deny,manual,45.00,47.00,true,true,"",https://cdn.shopify.com/s/files/1/0524/5167/2260/products/Watches.jpg?v=1637570945,1,,false,,,,,,,,,,,,,,,,,kg,,1.00,active
copy-of-clothing-accessories-category-clothing-accessories,Jewelry & Watches-Jewelry,Jewelry &amp; Watches-Jewelry,PHUC-UAT-100119,,,"",true,Title,Default Title,,,,,"",30.0,shopify,2,deny,manual,45.00,47.00,true,true,"",https://cdn.shopify.com/s/files/1/0524/5167/2260/products/Jewelry.jpg?v=1637570882,1,,false,,,,,,,,,,,,,,,,,kg,,1.00,active
copy-of-clothing-accessories-category-shoes-footwear,Clothing & Accessories Category-   Clothing Accessories,Clothing &amp; Accessories Category-   Clothing Accessories,PHUC-UAT-100119,,,"",true,Title,Default Title,,,,,"",30.0,shopify,2,deny,manual,45.00,47.00,true,true,"",https://cdn.shopify.com/s/files/1/0524/5167/2260/products/download_1_b108aa9d-ac21-4291-935a-81202218e2c5.jpg?v=1637570597,1,,false,,,,,,,,,,,,,,,,,kg,,1.00,active
copy-of-clothing-accessories-category-clothing,Clothing & Accessories Category-  Shoes & Footwear,Clothing &amp; Accessories Category-  Shoes &amp; Footwear,PHUC-UAT-100119,,,"",true,Title,Default Title,,,,,"",30.0,shopify,2,deny,manual,45.00,47.00,true,true,"",https://cdn.shopify.com/s/files/1/0524/5167/2260/products/download_1_4699068e-addc-47c8-a0d9-3f56427e5d40.jpg?v=1637570564,1,,false,,,,,,,,,,,,,,,,,kg,,1.00,active
clothing-accessories-category-clothing,Clothing & Accessories Category- Clothing,Clothing &amp; Accessories Category- Clothing,PHUC-UAT-100119,,,"",true,Title,Default Title,,,,,"",30.0,shopify,2,deny,manual,45.00,47.00,true,true,"",https://cdn.shopify.com/s/files/1/0524/5167/2260/products/download_1_ae09452a-3e5e-44dc-aa5c-d5ba3d5fb9a7.jpg?v=1637570547,1,,false,,,,,,,,,,,,,,,,,kg,,1.00,active
electronics-tvs-monitors,Electronics-TVs & Monitors,Electronics-TVs &amp; Monitors,PHUC-UAT-100119,,,"",true,Title,Default Title,,,,,"",30.0,shopify,4543,deny,manual,888.00,999.00,true,true,"",https://cdn.shopify.com/s/files/1/0524/5167/2260/products/2Gi_nh_al_crac_d_ngd_treob_nr_abat.jpg?v=1637570215,1,,false,,,,,,,,,,,,,,,,,kg,,2.00,active
electronics-projectors,Electronics- Projectors,Electronics- Projectors,PHUC-UAT-100119,,,"",true,Title,Default Title,,,,,"",0.0,shopify,34,deny,manual,44.00,55.00,true,true,"",https://cdn.shopify.com/s/files/1/0524/5167/2260/products/0fd1575d1815aede8ed91270f5d3edd0.jpg?v=1637570069,1,,false,,,,,,,,,,,,,,,,,kg,,1.00,active
electronics-cameras,Electronics-Cameras,Electronics-Cameras,PHUC-UAT-100119,,,"",true,Title,Default Title,,,,,"",0.0,shopify,7777,deny,manual,12.00,15.00,true,true,"",https://cdn.shopify.com/s/files/1/0524/5167/2260/products/images_c1e507fa-01ad-4f21-9955-b556766a8efa.jpg?v=1637570012,1,,false,,,,,,,,,,,,,,,,,kg,,3.00,active
electronics-printers-scanners,Electronics - Printers & Scanners,Electronics - Printers &amp; Scanners,PHUC-UAT-100119,,,"",true,Title,Default Title,,,,,"",0.0,shopify,0,deny,manual,8.00,9.00,true,true,"",https://cdn.shopify.com/s/files/1/0524/5167/2260/products/d9372030a98fc2570df828cbb2b5db66_601696d2-915f-4f97-a72e-2ef37b94ec1a.jpg?v=1637552827,1,,false,,,,,,,,,,,,,,,,,kg,,1.00,active
electronics-software,Electronics - Software,Electronics - Software,PHUC-UAT-100119,,,"",true,Title,Default Title,,,,,"",0.0,shopify,2,deny,manual,2.00,2.00,true,true,"",https://cdn.shopify.com/s/files/1/0524/5167/2260/products/download_1.jpg?v=1637552800,1,,false,,,,,,,,,,,,,,,,,kg,,,active
electronics-video-game-consoles-video-games,Electronics - Video Game Consoles & Video Games,Electronics - Video Game Consoles &amp; Video Games,PHUC-UAT-100119,,,"",true,Title,Default Title,,,,,"",0.0,shopify,2,deny,manual,23.00,1.00,true,true,"",https://cdn.shopify.com/s/files/1/0524/5167/2260/products/d9372030a98fc2570df828cbb2b5db66.jpg?v=1637552763,1,,false,,,,,,,,,,,,,,,,,kg,,2.00,active
electronics-computers-tables,Electronics - Computers & Tables,Electronics - Computers &amp; Tables,PHUC-UAT-100119,,,"",true,Title,Default Title,,,,,"",0.0,shopify,23,deny,manual,2.00,45.00,true,true,"",https://cdn.shopify.com/s/files/1/0524/5167/2260/products/546be54722dc5d998209d23751b8ee24--hair-illustration-illustration-design.jpg?v=1637552723,1,,false,,,,,,,,,,,,,,,,,kg,,2.00,active
electronics-accessories,Electronics - Accessories,Electronics - Accessories,nike,,,"",true,Title,Default Title,,,,,sku,50.0,shopify,343,deny,manual,6.00,8.00,true,true,barcode,https://cdn.shopify.com/s/files/1/0524/5167/2260/products/hinhtuinek.jpg?v=1637551620,1,,false,,,,,,,,,,,,,,,,,kg,,2.00,active
electronics-cell-phones-smart-watches,Electronics- cell phones & smart watches,Electronics- cell phones &amp; smart watches,PHUC-UAT-100119,,,"",true,Title,Default Title,,,,,"",0.0,shopify,1,deny,manual,8.00,8.00,true,true,"",https://cdn.shopify.com/s/files/1/0524/5167/2260/products/53e3d8ee09a0933bad98d12e2a837d4f.jpg?v=1637319475,1,,false,,,,,,,,,,,,,,,,,kg,,1.00,active
